,Cell type,test,cell tissue,cell source,material
664,SIRC,MTT,Cornea,Rabbit,Ag
665,SIRC,MTT,Cornea,Rabbit,Ag
666,SIRC,MTT,Cornea,Rabbit,Ag
667,SIRC,MTT,Cornea,Rabbit,ZnO
668,SIRC,MTT,Cornea,Rabbit,ZnO
669,SIRC,MTT,Cornea,Rabbit,ZnO
670,SIRC,MTT,Cornea,Rabbit,ZnO
671,SIRC,MTT,Cornea,Rabbit,ZnO
672,SIRC,MTT,Cornea,Rabbit,ZnO
673,SIRC,MTT,Cornea,Rabbit,ZnO
674,SIRC,MTT,Cornea,Rabbit,ZnO
675,SIRC,MTT,Cornea,Rabbit,ZnO
676,SIRC,MTT,Cornea,Rabbit,ZnO
677,SIRC,MTT,Cornea,Rabbit,ZnO
678,SIRC,MTT,Cornea,Rabbit,ZnO
679,SIRC,MTT,Cornea,Rabbit,ZnO
680,SIRC,MTT,Cornea,Rabbit,ZnO
681,SIRC,MTT,Cornea,Rabbit,ZnO
682,SIRC,MTT,Cornea,Rabbit,ZnO
683,SIRC,MTT,Cornea,Rabbit,ZnO
684,SIRC,MTT,Cornea,Rabbit,ZnO
685,SIRC,MTT,Cornea,Rabbit,ZnO
686,SIRC,MTT,Cornea,Rabbit,ZnO
687,SIRC,MTT,Cornea,Rabbit,ZnO
688,SIRC,MTT,Cornea,Rabbit,ZnO
689,SIRC,MTT,Cornea,Rabbit,ZnO
690,SIRC,MTT,Cornea,Rabbit,ZnO
691,NHDF,MTT,Skin,Human,Au
692,NHDF,MTT,Skin,Human,Au
693,NHDF,MTT,Skin,Human,Au
694,NHDF,MTT,Skin,Human,Au
695,NHDF,MTT,Skin,Human,Au
696,NHDF,MTT,Skin,Human,Au
697,NHDF,MTT,Skin,Human,Au
698,NHDF,MTT,Skin,Human,Au
699,NHDF,MTT,Skin,Human,Au
700,NHDF,MTT,Skin,Human,Au
701,NHDF,MTT,Skin,Human,Au
702,NHDF,MTT,Skin,Human,Au
703,NHDF,MTT,Skin,Human,Au
704,NHDF,MTT,Skin,Human,Au
705,NHDF,MTT,Skin,Human,Au
706,NHDF,MTT,Skin,Human,Au
707,NHDF,MTT,Skin,Human,Au
708,NHDF,MTT,Skin,Human,Au
709,NHDF,MTT,Skin,Human,Au
710,NHDF,MTT,Skin,Human,Au
711,NHDF,MTT,Skin,Human,Au
712,NHDF,MTT,Skin,Human,Au
713,NHDF,MTT,Skin,Human,Au
714,NHDF,MTT,Skin,Human,Au
715,NHDF,MTT,Skin,Human,Au
716,NHDF,MTT,Skin,Human,Au
717,NHDF,MTT,Skin,Human,Au
718,NHDF,MTT,Skin,Human,Au
719,NHDF,MTT,Skin,Human,Au
720,NHDF,MTT,Skin,Human,Au
721,NHDF,MTT,Skin,Human,Au
722,NHDF,MTT,Skin,Human,Au
723,NHDF,MTT,Skin,Human,Au
724,NHDF,MTT,Skin,Human,Au
725,NHDF,MTT,Skin,Human,Au
726,NHDF,MTT,Skin,Human,Au
727,NHDF,MTT,Skin,Human,Au
728,NHDF,MTT,Skin,Human,Au
729,NHDF,MTT,Skin,Human,Au
730,NHDF,MTT,Skin,Human,Au
731,NHDF,MTT,Skin,Human,Au
732,NHDF,MTT,Skin,Human,Au
733,NHDF,MTT,Skin,Human,Au
734,NHDF,MTT,Skin,Human,Au
735,NHDF,MTT,Skin,Human,Au
801,A549,CCK-8,Lung,Human,Au
802,A549,CCK-8,Lung,Human,Au
803,A549,CCK-8,Lung,Human,Au
804,A549,CCK-8,Lung,Human,Au
805,A549,CCK-8,Lung,Human,Au
806,A549,CCK-8,Lung,Human,Au
807,Caco-2,CCK-8,Colon,Human,Ag
808,Caco-2,CCK-8,Colon,Human,Ag
809,Caco-2,CCK-8,Colon,Human,Ag
810,Caco-2,CCK-8,Colon,Human,Ag
811,Caco-2,CCK-8,Colon,Human,Ag
812,Caco-2,CCK-8,Colon,Human,ZnO
813,Caco-2,CCK-8,Colon,Human,ZnO
814,Caco-2,CCK-8,Colon,Human,ZnO
815,Caco-2,CCK-8,Colon,Human,ZnO
816,Caco-2,CCK-8,Colon,Human,ZnO
817,THP-1,AlamarBlue,Blood,Human,Ag
818,THP-1,AlamarBlue,Blood,Human,Ag
819,THP-1,AlamarBlue,Blood,Human,Ag
820,THP-1,AlamarBlue,Blood,Human,Ag
821,THP-1,AlamarBlue,Blood,Human,Ag
822,THP-1,AlamarBlue,Blood,Human,Ag
823,THP-1,AlamarBlue,Blood,Human,Ag
824,THP-1,AlamarBlue,Blood,Human,Ag
825,THP-1,AlamarBlue,Blood,Human,Ag
826,THP-1,AlamarBlue,Blood,Human,Ag
827,THP-1,AlamarBlue,Blood,Human,Ag
828,THP-1,AlamarBlue,Blood,Human,Ag
829,THP-1,AlamarBlue,Blood,Human,Ag
830,THP-1,AlamarBlue,Blood,Human,Ag
831,THP-1,AlamarBlue,Blood,Human,Ag
832,THP-1,AlamarBlue,Blood,Human,Ag
833,THP-1,AlamarBlue,Blood,Human,Ag
834,THP-1,AlamarBlue,Blood,Human,Ag
835,THP-1,AlamarBlue,Blood,Human,Ag
836,THP-1,AlamarBlue,Blood,Human,Ag
837,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
838,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
839,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
840,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
841,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
842,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
843,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
844,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
845,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
846,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
847,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
848,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
849,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
850,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
851,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
852,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
853,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
854,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
855,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
856,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
857,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
858,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
859,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
860,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
861,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
862,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
863,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
864,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
865,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
866,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
867,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
868,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
869,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
870,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
871,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
872,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
873,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
874,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
875,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
876,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
877,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
878,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
879,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
880,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
881,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
882,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
883,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
884,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
885,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
886,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
887,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
888,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
889,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
890,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
891,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
892,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
893,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
894,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
895,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
896,SHSY5Y,MTT,BoneMarrow,Human,Fe3O4
897,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
898,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
899,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
900,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
901,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
902,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
903,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
904,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
905,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
906,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
907,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
908,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
909,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
910,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
911,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
912,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
913,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
914,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
915,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
916,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
917,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
918,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
919,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
920,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
921,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
922,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
923,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
924,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
925,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
926,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
927,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
928,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
929,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
930,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
931,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
932,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
933,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
934,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
935,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
936,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
937,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
938,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
939,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
940,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
941,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
942,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
943,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
944,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
945,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
946,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
947,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
948,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
949,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
950,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
951,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
952,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
953,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
954,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
955,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
956,SHSY5Y,NRU,BoneMarrow,Human,Fe3O4
957,SHSY5Y,MTT,BoneMarrow,Human,ZnO
958,SHSY5Y,MTT,BoneMarrow,Human,ZnO
959,SHSY5Y,MTT,BoneMarrow,Human,ZnO
960,SHSY5Y,MTT,BoneMarrow,Human,ZnO
961,SHSY5Y,MTT,BoneMarrow,Human,ZnO
962,SHSY5Y,MTT,BoneMarrow,Human,ZnO
963,SHSY5Y,MTT,BoneMarrow,Human,ZnO
964,SHSY5Y,MTT,BoneMarrow,Human,ZnO
965,SHSY5Y,MTT,BoneMarrow,Human,ZnO
966,SHSY5Y,MTT,BoneMarrow,Human,ZnO
967,SHSY5Y,MTT,BoneMarrow,Human,ZnO
968,SHSY5Y,MTT,BoneMarrow,Human,ZnO
969,SHSY5Y,MTT,BoneMarrow,Human,ZnO
970,SHSY5Y,MTT,BoneMarrow,Human,ZnO
971,SHSY5Y,MTT,BoneMarrow,Human,ZnO
972,SHSY5Y,MTT,BoneMarrow,Human,ZnO
973,SHSY5Y,MTT,BoneMarrow,Human,ZnO
974,SHSY5Y,MTT,BoneMarrow,Human,ZnO
975,SHSY5Y,MTT,BoneMarrow,Human,ZnO
976,SHSY5Y,MTT,BoneMarrow,Human,ZnO
977,SHSY5Y,MTT,BoneMarrow,Human,ZnO
978,SHSY5Y,MTT,BoneMarrow,Human,ZnO
979,SHSY5Y,MTT,BoneMarrow,Human,ZnO
980,SHSY5Y,MTT,BoneMarrow,Human,ZnO
981,SHSY5Y,MTT,BoneMarrow,Human,ZnO
982,SHSY5Y,MTT,BoneMarrow,Human,ZnO
983,SHSY5Y,MTT,BoneMarrow,Human,ZnO
984,SHSY5Y,MTT,BoneMarrow,Human,ZnO
985,SHSY5Y,MTT,BoneMarrow,Human,ZnO
986,SHSY5Y,MTT,BoneMarrow,Human,ZnO
987,SHSY5Y,NRU,BoneMarrow,Human,ZnO
988,SHSY5Y,NRU,BoneMarrow,Human,ZnO
989,SHSY5Y,NRU,BoneMarrow,Human,ZnO
990,SHSY5Y,NRU,BoneMarrow,Human,ZnO
991,SHSY5Y,NRU,BoneMarrow,Human,ZnO
992,SHSY5Y,NRU,BoneMarrow,Human,ZnO
993,SHSY5Y,NRU,BoneMarrow,Human,ZnO
994,SHSY5Y,NRU,BoneMarrow,Human,ZnO
995,SHSY5Y,NRU,BoneMarrow,Human,ZnO
996,SHSY5Y,NRU,BoneMarrow,Human,ZnO
997,SHSY5Y,NRU,BoneMarrow,Human,ZnO
998,SHSY5Y,NRU,BoneMarrow,Human,ZnO
999,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1000,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1001,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1002,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1003,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1004,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1005,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1006,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1007,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1008,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1009,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1010,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1011,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1012,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1013,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1014,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1015,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1016,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1017,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1018,SHSY5Y,NRU,BoneMarrow,Human,ZnO
1019,Macrophages,MTT,Peritoneal Cavity,Mouse,ZnO
1020,Macrophages,MTT,Peritoneal Cavity,Mouse,ZnO
1021,Macrophages,MTT,Peritoneal Cavity,Mouse,ZnO
1022,Macrophages,MTT,Peritoneal Cavity,Mouse,ZnO
1023,HUVEC,CVS,Umbilical Vein,Human,SiO2
1024,HUVEC,CVS,Umbilical Vein,Human,SiO2
1025,HUVEC,CVS,Umbilical Vein,Human,SiO2
1026,HUVEC,CVS,Umbilical Vein,Human,SiO2
1027,HUVEC,CVS,Umbilical Vein,Human,SiO2
1028,HUVEC,CVS,Umbilical Vein,Human,SiO2
1029,HUVEC,CVS,Umbilical Vein,Human,SiO2
1030,HUVEC,CVS,Umbilical Vein,Human,SiO2
1031,HUVEC,CVS,Umbilical Vein,Human,SiO2
1032,HUVEC,CVS,Umbilical Vein,Human,SiO2
1033,HUVEC,CVS,Umbilical Vein,Human,SiO2
1034,HUVEC,CVS,Umbilical Vein,Human,SiO2
1035,HUVEC,CVS,Umbilical Vein,Human,SiO2
1036,HUVEC,CVS,Umbilical Vein,Human,SiO2
1037,HUVEC,CVS,Umbilical Vein,Human,SiO2
1038,HepG2,MTT,Liver,Human,ZnO
1039,HepG2,MTT,Liver,Human,ZnO
1040,HepG2,MTT,Liver,Human,ZnO
1041,HepG2,MTT,Liver,Human,ZnO
1042,HepG2,MTT,Liver,Human,TiO2
1043,HepG2,MTT,Liver,Human,TiO2
1044,HepG2,MTT,Liver,Human,TiO2
1045,HepG2,MTT,Liver,Human,TiO2
1046,HepG2,MTT,Liver,Human,CuO
1047,HepG2,MTT,Liver,Human,CuO
1048,HepG2,MTT,Liver,Human,CuO
1049,HepG2,MTT,Liver,Human,CuO
1050,HepG2,MTT,Liver,Human,Co3O4
1051,HepG2,MTT,Liver,Human,Co3O4
1052,HepG2,MTT,Liver,Human,Co3O4
1053,HepG2,MTT,Liver,Human,Co3O4
1054,Hepatocytes,MTT,Liver,Catfish,ZnO
1055,Hepatocytes,MTT,Liver,Catfish,ZnO
1056,Hepatocytes,MTT,Liver,Catfish,ZnO
1057,Hepatocytes,MTT,Liver,Catfish,ZnO
1058,Hepatocytes,MTT,Liver,Catfish,TiO2
1059,Hepatocytes,MTT,Liver,Catfish,TiO2
1060,Hepatocytes,MTT,Liver,Catfish,TiO2
1061,Hepatocytes,MTT,Liver,Catfish,TiO2
1062,Hepatocytes,MTT,Liver,Catfish,CuO
1063,Hepatocytes,MTT,Liver,Catfish,CuO
1064,Hepatocytes,MTT,Liver,Catfish,CuO
1065,Hepatocytes,MTT,Liver,Catfish,CuO
1066,Hepatocytes,MTT,Liver,Catfish,Co3O4
1067,Hepatocytes,MTT,Liver,Catfish,Co3O4
1068,Hepatocytes,MTT,Liver,Catfish,Co3O4
1069,Hepatocytes,MTT,Liver,Catfish,Co3O4
1070,A549,MTT,Lung,Human,TiO2
1071,A549,MTT,Lung,Human,TiO2
1072,A549,MTT,Lung,Human,TiO2
1073,A549,MTT,Lung,Human,TiO2
1074,A549,MTT,Lung,Human,TiO2
1075,A549,MTT,Lung,Human,TiO2
1076,A549,MTT,Lung,Human,TiO2
1077,A549,MTT,Lung,Human,TiO2
1078,A549,MTT,Lung,Human,TiO2
1079,A549,MTT,Lung,Human,TiO2
1080,A549,MTT,Lung,Human,TiO2
1081,A549,MTT,Lung,Human,TiO2
1082,A549,MTT,Lung,Human,TiO2
1083,A549,MTT,Lung,Human,TiO2
1084,A549,MTT,Lung,Human,TiO2
1085,A549,MTT,Lung,Human,TiO2
1086,A549,MTT,Lung,Human,TiO2
1087,A549,MTT,Lung,Human,TiO2
1088,A549,MTT,Lung,Human,TiO2
1089,A549,MTT,Lung,Human,TiO2
1090,A549,MTT,Lung,Human,TiO2
1091,A549,MTT,Lung,Human,TiO2
1092,A549,MTT,Lung,Human,TiO2
1093,A549,MTT,Lung,Human,TiO2
1094,A549,MTT,Lung,Human,TiO2
1095,A549,MTT,Lung,Human,TiO2
1096,A549,MTT,Lung,Human,TiO2
1097,A549,MTT,Lung,Human,TiO2
1098,A549,MTT,Lung,Human,TiO2
1099,A549,MTT,Lung,Human,TiO2
1100,A549,MTT,Lung,Human,TiO2
1101,A549,MTT,Lung,Human,TiO2
1102,A549,MTT,Lung,Human,TiO2
1103,Caco-2,MTT,Colon,Human,TiO2
1104,Caco-2,MTT,Colon,Human,TiO2
1105,Caco-2,MTT,Colon,Human,TiO2
1106,Caco-2,MTT,Colon,Human,TiO2
1107,Caco-2,MTT,Colon,Human,TiO2
1108,Caco-2,MTT,Colon,Human,TiO2
1109,Caco-2,MTT,Colon,Human,TiO2
1110,Caco-2,MTT,Colon,Human,TiO2
1111,Caco-2,MTT,Colon,Human,TiO2
1112,Caco-2,MTT,Colon,Human,TiO2
1113,Caco-2,MTT,Colon,Human,TiO2
1114,Caco-2,MTT,Colon,Human,TiO2
1115,Caco-2,MTT,Colon,Human,TiO2
1116,Caco-2,MTT,Colon,Human,TiO2
1117,Caco-2,MTT,Colon,Human,TiO2
1118,Caco-2,MTT,Colon,Human,TiO2
1119,Caco-2,MTT,Colon,Human,TiO2
1120,Caco-2,MTT,Colon,Human,TiO2
1121,HK-2,XTT,Kidney,Human,Fe3O4
1122,HK-2,XTT,Kidney,Human,Fe3O4
1123,HK-2,XTT,Kidney,Human,Fe3O4
1124,HK-2,XTT,Kidney,Human,Fe3O4
1125,HK-2,XTT,Kidney,Human,Fe3O4
1126,HK-2,XTT,Kidney,Human,Fe3O4
1127,HK-2,XTT,Kidney,Human,Fe3O4
1128,HK-2,XTT,Kidney,Human,Fe3O4
1129,HK-2,XTT,Kidney,Human,Fe3O4
1130,HK-2,XTT,Kidney,Human,Fe3O4
1131,HK-2,XTT,Kidney,Human,Fe3O4
1132,HK-2,XTT,Kidney,Human,Fe3O4
1133,HK-2,XTT,Kidney,Human,Fe3O4
1134,HK-2,XTT,Kidney,Human,Fe3O4
1135,HUVEC,CCK-8,Umbilical Vein,Human,Au
1136,HUVEC,CCK-8,Umbilical Vein,Human,Au
1137,HUVEC,CCK-8,Umbilical Vein,Human,Au
1138,HUVEC,CCK-8,Umbilical Vein,Human,Au
1139,HUVEC,CCK-8,Umbilical Vein,Human,Au
1140,HUVEC,CCK-8,Umbilical Vein,Human,Au
1141,HUVEC,CCK-8,Umbilical Vein,Human,Au
1142,HUVEC,CCK-8,Umbilical Vein,Human,Au
1143,HUVEC,CCK-8,Umbilical Vein,Human,Au
1144,HUVEC,CCK-8,Umbilical Vein,Human,Pt
1145,HUVEC,CCK-8,Umbilical Vein,Human,Pt
1146,HUVEC,CCK-8,Umbilical Vein,Human,Pt
1147,HUVEC,CCK-8,Umbilical Vein,Human,Pt
1148,HUVEC,CCK-8,Umbilical Vein,Human,Pt
1149,HUVEC,CCK-8,Umbilical Vein,Human,Pt
1150,HUVEC,CCK-8,Umbilical Vein,Human,Pt
1151,HUVEC,CCK-8,Umbilical Vein,Human,Pt
1152,HUVEC,CCK-8,Umbilical Vein,Human,Pt
1153,HUVEC,CCK-8,Umbilical Vein,Human,Pt
1154,HUVEC,CCK-8,Umbilical Vein,Human,Pt
1155,HUVEC,CCK-8,Umbilical Vein,Human,Pt
1156,HUVEC,CCK-8,Umbilical Vein,Human,SiO2
1157,HUVEC,CCK-8,Umbilical Vein,Human,SiO2
1158,HUVEC,CCK-8,Umbilical Vein,Human,SiO2
1159,HUVEC,CCK-8,Umbilical Vein,Human,SiO2
1160,HUVEC,CCK-8,Umbilical Vein,Human,SiO2
1161,HUVEC,CCK-8,Umbilical Vein,Human,SiO2
1162,HUVEC,CCK-8,Umbilical Vein,Human,SiO2
1163,HUVEC,CCK-8,Umbilical Vein,Human,SiO2
1164,HUVEC,CCK-8,Umbilical Vein,Human,SiO2
1165,HUVEC,CCK-8,Umbilical Vein,Human,SiO2
1166,HUVEC,CCK-8,Umbilical Vein,Human,SiO2
1167,HUVEC,CCK-8,Umbilical Vein,Human,SiO2
1168,HUVEC,CCK-8,Umbilical Vein,Human,TiO2
1169,HUVEC,CCK-8,Umbilical Vein,Human,TiO2
1170,HUVEC,CCK-8,Umbilical Vein,Human,TiO2
1171,HUVEC,CCK-8,Umbilical Vein,Human,TiO2
1172,HUVEC,CCK-8,Umbilical Vein,Human,TiO2
1173,HUVEC,CCK-8,Umbilical Vein,Human,TiO2
1174,HUVEC,CCK-8,Umbilical Vein,Human,TiO2
1175,HUVEC,CCK-8,Umbilical Vein,Human,TiO2
1176,HUVEC,CCK-8,Umbilical Vein,Human,TiO2
1177,HUVEC,CCK-8,Umbilical Vein,Human,TiO2
1178,HUVEC,CCK-8,Umbilical Vein,Human,TiO2
1179,HUVEC,CCK-8,Umbilical Vein,Human,TiO2
1180,HUVEC,CCK-8,Umbilical Vein,Human,TiO2
1181,HUVEC,CCK-8,Umbilical Vein,Human,TiO2
1182,HUVEC,CCK-8,Umbilical Vein,Human,TiO2
1183,HUVEC,CCK-8,Umbilical Vein,Human,TiO2
1184,HUVEC,CCK-8,Umbilical Vein,Human,C
1185,HUVEC,CCK-8,Umbilical Vein,Human,C
1186,HUVEC,CCK-8,Umbilical Vein,Human,C
1187,HUVEC,CCK-8,Umbilical Vein,Human,C
1188,HUVEC,CCK-8,Umbilical Vein,Human,Fe3O4
1189,HUVEC,CCK-8,Umbilical Vein,Human,Fe3O4
1190,HUVEC,CCK-8,Umbilical Vein,Human,Fe3O4
1191,HUVEC,CCK-8,Umbilical Vein,Human,Fe3O4
1192,HUVEC,CCK-8,Umbilical Vein,Human,Fe3O4
1193,HUVEC,CCK-8,Umbilical Vein,Human,Fe3O4
1194,HUVEC,CCK-8,Umbilical Vein,Human,Fe3O4
1195,HUVEC,CCK-8,Umbilical Vein,Human,Fe3O4
1196,WA09,Live/Dead,Embryo,Human,Au
1197,WA09,Live/Dead,Embryo,Human,Au
1198,WA09,Live/Dead,Embryo,Human,Au
1199,WA09,MTT,Embryo,Human,Au
1200,WA09,MTT,Embryo,Human,Au
1201,WA09,MTT,Embryo,Human,Au
1202,WA09,Live/Dead,Embryo,Human,Au
1203,WA09,Live/Dead,Embryo,Human,Au
1204,WA09,Live/Dead,Embryo,Human,Au
1205,WA09,Live/Dead,Embryo,Human,Au
1206,WA09,Live/Dead,Embryo,Human,Au
1207,WA09,MTT,Embryo,Human,Au
1208,WA09,MTT,Embryo,Human,Au
1209,WA09,MTT,Embryo,Human,Au
1210,WA09,MTT,Embryo,Human,Au
1211,HeLa,MTT,Cervix,Human,Au
1212,HeLa,MTT,Cervix,Human,Au
1213,HeLa,MTT,Cervix,Human,Au
1214,HeLa,MTT,Cervix,Human,Au
1215,HeLa,MTT,Cervix,Human,Au
1216,HeLa,MTT,Cervix,Human,Au
1217,HeLa,MTT,Cervix,Human,Au
1218,HeLa,MTT,Cervix,Human,Au
1219,HEK293,MTT,Kidney,Human,Au
1220,HEK293,MTT,Kidney,Human,Au
1221,HEK293,MTT,Kidney,Human,Au
1222,HEK293,MTT,Kidney,Human,Au
1223,HEK293,MTT,Kidney,Human,Au
1224,HEK293,MTT,Kidney,Human,Au
1225,HEK293,MTT,Kidney,Human,Au
1226,HEK293,MTT,Kidney,Human,Au
1227,H1299,MTT,Lung,Human,Au
1228,H1299,MTT,Lung,Human,Au
